#1,,,,,,,,,,#2,,,,,,,,,
Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,,Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Đơn giá
,,62285,COGS62285,Marketing department - Provision for bonuses,賞与引当金繰入額,賞与引当金繰入額,Marketing department - Provision for bonuses,Chi phí nhân công trực tiếp - Dự phòng tiền thưởng,,,,62283,COGS62283,Union fee,給与 SALE,労働組合費,Union fee,KPCĐ,
,,62286,COGS62286,Marketing department - Business trip allowance,給与,0,Marketing department - Business trip allowance,Chi phí nhân công trực tiếp - Công tác phí,,,,62284,COGS62284,Bonus,賞与金,ボーナス,Bonus,Tiền thưởng,
627,,,,0,0,製造間接費,General operation cost,Chi phí sản xuất chung,,,,62285,COGS62285,Provision for bonuses,賞与引当金繰入 SALE,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng,
,6271,,,0,0,製造従業員,Indirect labour,Chi phí nhân viên phân xưởng,,,,62286,COGS62286,Business trip allowance,給与 SALE,0,Business trip allowance,Công tác phí,
,,62711,,0,0,スタッフ,Indirect labour - Employees,Chi phí nhân viên phân xưởng - Nhân viên,,,,62287,COGS62287,Severance allowance,給与 SALE,0,Severance allowance,Trợ cấp thôi việc,
,,627111,COGS627111,Indirect labour - Employees - Salary,#N/A,給与,Indirect labour - Employees - Salary,Chi phí nhân viên phân xưởng - Nhân viên - Lương,,627,,,,0,0,製造間接費,General operation cost,Chi phí sản xuất chung,
,,627112,COGS627112,Indirect labour - Employees - Insurance,#N/A,保険料,Indirect labour - Employees - Insurance,Chi phí nhân viên phân xưởng - Nhân viên - Bảo hiểm,,,6271,,,0,0,製造従業員,Indirect labour,Chi phí nhân viên phân xưởng,
,,627113,COGS627113,Indirect labour - Employees - Union fees,#N/A,労働組合費,Indirect labour - Employees - Union fees,Chi phí nhân viên phân xưởng - Nhân viên - KPCĐ,,,,62711,,0,0,スタッフ,Indirect labour - Employees,Chi phí nhân viên phân xưởng - Nhân viên,
,,627114,COGS627114,Indirect labour - Employees - Tax,#N/A,税金,Indirect labour - Employees - Tax,Chi phí nhân viên phân xưởng - Nhân viên - Thuế,,,,627111,COGS627111,Indirect labour - Employees - Salary,#N/A,給与,Indirect labour - Employees - Salary,Chi phí nhân viên phân xưởng - Nhân viên - Lương,
,,627115,COGS627115,Indirect labour - Employees - Bonus,#N/A,ボーナス,Indirect labour - Employees - Bonus,Chi phí nhân viên phân xưởng - Nhân viên - Tiền thưởng,,,,627112,COGS627112,Indirect labour - Employees - Insurance,#N/A,保険料,Indirect labour - Employees - Insurance,Chi phí nhân viên phân xưởng - Nhân viên - Bảo hiểm,
,,62712,,0,0,日本人管理者,Indirect labour - Manager,Chi phí nhân viên phân xưởng - Quản lý người Nhật,,,,627113,COGS627113,Indirect labour - Employees - Union fees,#N/A,労働組合費,Indirect labour - Employees - Union fees,Chi phí nhân viên phân xưởng - Nhân viên - KPCĐ,
,,627121,COGS627121,Indirect labour - Manager - Salary,#N/A,給与,Indirect labour - Manager - Salary,Chi phí nhân viên phân xưởng - Quản lý người Nhật - Lương,,,,627114,COGS627114,Indirect labour - Employees - Tax,#N/A,税金,Indirect labour - Employees - Tax,Chi phí nhân viên phân xưởng - Nhân viên - Thuế,
,,627122,COGS627122,Indirect labour - Manager - Insurance,#N/A,保険料,Indirect labour - Manager - Insurance,Chi phí nhân viên phân xưởng - Quản lý người Nhật - Bảo hiểm,,,,627115,COGS627115,Indirect labour - Employees - Bonus,#N/A,ボーナス,Indirect labour - Employees - Bonus,Chi phí nhân viên phân xưởng - Nhân viên - Tiền thưởng,
,,627123,COGS627123,Indirect labour - Manager - Union fees,#N/A,労働組合費,Indirect labour - Manager - Union fees,Chi phí nhân viên phân xưởng - Quản lý người Nhật - KPCĐ,,,,62712,,0,0,日本人管理者,Indirect labour - Manager,Chi phí nhân viên phân xưởng - Quản lý người Nhật,
,,627124,COGS627124,Indirect labour - Manager - Tax,#N/A,税金,Indirect labour - Manager - Tax,Chi phí nhân viên phân xưởng - Quản lý người Nhật - Thuế,,,,627121,COGS627121,Indirect labour - Manager - Salary,#N/A,給与,Indirect labour - Manager - Salary,Chi phí nhân viên phân xưởng - Quản lý người Nhật - Lương,
,6272,,COGS6272,Use of auxiliary materials,#N/A,原材料,Use of auxiliary materials,"Chi phí nguyên, vật liệu",,,,627122,COGS627122,Indirect labour - Manager - Insurance,#N/A,保険料,Indirect labour - Manager - Insurance,Chi phí nhân viên phân xưởng - Quản lý người Nhật - Bảo hiểm,
,6273,,COGS6273,Use of tools and supplies,消耗品費,消耗工具備品費,Use of tools and supplies,Chi phí dụng cụ sản xuất,,,,627123,COGS627123,Indirect labour - Manager - Union fees,#N/A,労働組合費,Indirect labour - Manager - Union fees,Chi phí nhân viên phân xưởng - Quản lý người Nhật - KPCĐ,
,6274,,COGS6274,Depreciation,減価償却費,固定資産の減価償却費,Depreciation,Chi phí khấu hao TSCĐ,,,,627124,COGS627124,Indirect labour - Manager - Tax,#N/A,税金,Indirect labour - Manager - Tax,Chi phí nhân viên phân xưởng - Quản lý người Nhật - Thuế,
,6277,,,0,0,外部用役費,Services rendered,Chi phí dịch vụ mua ngoài,,,6272,,COGS6272,Use of auxiliary materials,#N/A,原材料,Use of auxiliary materials,"Chi phí nguyên, vật liệu",
,,62771,COGS62771,Rental fee,家賃地代,事務所レンタル料（生産）,Rental fee,Chi phí thuê văn phòng (sản xuất),,,6273,,COGS6273,Use of tools and supplies,消耗品費,消耗工具備品費,Use of tools and supplies,Chi phí dụng cụ sản xuất,
