CÔNG TY TNHH GLORY SOFTWARE VIETNAM,,,,,,,,,,,,,,,,,,,,,,,,,,
Income statement- 損益計算書（月次推移）,,,,,,,,,,,,,,,,,,,,,,,,,,
For the fiscal year end 31/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
単位： Vietnamese Dong,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4月,5月,6月,7月,8月,9月,,10月,11月,12月,1月,2月,3月,,,,
Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Đơn giá,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,FY2025,Net amount,COGS/SGA,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,627123,COGS627123,Indirect labour - Manager - Union fees,#N/A,労働組合費,Indirect labour - Manager - Union fees,Chi phí nhân viên phân xưởng - Quản lý người Nhật - KPCĐ,,,,,,,,,,,,,,,-,-,COGS,
,,627124,COGS627124,Indirect labour - Manager - Tax,#N/A,税金,Indirect labour - Manager - Tax,Chi phí nhân viên phân xưởng - Quản lý người Nhật - Thuế,,,,,,,,,,,,,,,-,-,COGS,
,6272,,COGS6272,Use of auxiliary materials,#N/A,原材料,Use of auxiliary materials,"Chi phí nguyên, vật liệu",,,,,,,,,,,,,,,-,-,COGS,
,6273,,COGS6273,Use of tools and supplies,消耗品費,消耗工具備品費,Use of tools and supplies,Chi phí dụng cụ sản xuất,,"60,290,117","60,300,914","60,209,098","58,947,472","58,712,339","58,191,501",,"57,670,672","57,149,065","57,068,820","61,235,487","61,128,010","58,425,864","709,329,359","709,329,359",COGS,
,6274,,COGS6274,Depreciation,減価償却費,固定資産の減価償却費,Depreciation,Chi phí khấu hao TSCĐ,"3,521,527","3,521,527","3,521,527","3,521,527","3,521,527","3,521,527","3,521,527",,"3,521,527","3,521,527","3,521,527","3,521,527","3,521,527","3,521,527","42,258,324","42,258,324",COGS,
,6277,,,0,0,外部用役費,Services rendered,Chi phí dịch vụ mua ngoài,,"338,139,334","339,905,463","337,764,334","338,858,685","339,022,398","338,894,885",,"462,438,535","336,464,334","336,464,334","336,631,001","336,631,001","336,262,856","4,177,477,156","4,177,477,156",,
,,62771,COGS62771,Rental fee,家賃地代,事務所レンタル料（生産）,Rental fee,Chi phí thuê văn phòng (sản xuất),"220,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000",,"176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","2,112,000,000","2,112,000,000",COGS,
,,62772,COGS62772,"Electricity, water,...",水道光熱費,"電気代と水道代,...(生産)","Electricity, water,...","Tiền điện, nước,...(sản xuất)","20,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000",,"16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","192,000,000","192,000,000",COGS,
,,62773,COGS62773,"Telephone, internet, fax, email",通信費,電話・インタネット・ファクス・メール,"Telephone, internet, fax, email","Điện thoại, internet, fax, email","1,500,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000",,"1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","14,400,000","14,400,000",COGS,
,,62778,COGS62778,Other services rendered,支払手数料,その他外部用役費,Other services rendered,Chi phí dịch vụ mua ngoài khác,,"144,939,334","146,705,463","144,564,334","145,658,685","145,822,398","145,694,885",,"269,238,535","143,264,334","143,264,334","143,431,001","143,431,001","143,062,856","1,859,077,156","1,859,077,156",,
